name,ticker,asset_type,sector,current_price,price_change_24h,market_cap_b,roi_1y,volatility,esg_score,environmental_score,social_score,governance_score,carbon_footprint,carbon_reduction_target
GreenTech Solutions,GRNT,Stock,Technology,145.75,2.3,45.2,18.5,0.15,85.2,87.3,82.1,86.2,28.5,35.0
Renewable Power,RNWP,Stock,Energy,52.30,1.8,22.7,15.2,0.18,92.1,94.5,89.2,92.6,12.3,40.0
Sustainable Finance,SUFN,Stock,Finance,82.15,-0.5,35.8,10.8,0.12,79.8,81.3,76.5,81.6,18.7,25.0
EcoToken,ECO,Crypto,Renewable Energy,32.45,5.2,3.5,42.5,0.45,76.5,79.2,72.8,77.5,35.2,30.0
GreenCoin,GRC,Crypto,Green Technology,15.80,-2.1,1.8,28.4,0.52,68.9,71.5,65.2,70.0,42.8,20.0
Sustainable Pharma,SUPH,Stock,Healthcare,72.25,0.8,28.5,12.5,0.14,81.3,83.6,78.9,81.4,22.1,30.0
CleanRetail Inc,CLRT,Stock,Retail,39.75,-1.2,15.3,8.7,0.22,77.2,79.5,74.3,77.8,31.5,22.0
WaterTech,WTRT,Stock,Utilities,74.50,1.5,18.2,14.3,0.16,88.7,91.2,85.6,89.3,15.3,35.0
Circular Economy,CRCE,Stock,Manufacturing,62.80,0.9,12.5,13.8,0.19,86.5,88.7,83.2,87.6,19.8,32.0
OceanToken,OCNT,Crypto,Marine Conservation,10.20,3.5,0.8,35.2,0.38,82.3,85.1,78.4,83.4,18.5,28.0
Future Mobility,FUTM,Stock,Transportation,95.40,1.2,32.5,16.8,0.21,84.5,87.2,80.3,86.0,25.3,33.0
Smart Agriculture,SMAG,Stock,Agriculture,68.75,0.5,15.8,11.2,0.17,83.8,86.5,79.8,85.1,18.9,29.0
Green Construction,GRCN,Stock,Construction,55.30,-0.8,10.2,9.5,0.23,80.2,83.7,75.4,81.5,32.8,24.0
EcoTransport,ECTR,Stock,Transportation,48.90,1.1,8.5,12.8,0.20,82.5,85.3,78.2,84.0,27.5,31.0
Ocean Conservation,OCNC,Stock,Marine Conservation,42.15,0.7,6.3,10.5,0.18,87.3,90.5,83.1,88.3,14.2,38.0
Biodiversity Fund,BIOD,Stock,Biodiversity,38.60,0.3,5.2,9.8,0.15,89.1,92.3,85.4,89.6,12.8,40.0
Clean Air Technologies,CAIR,Stock,Clean Air,65.20,1.4,12.8,14.2,0.19,86.8,89.5,82.7,88.2,15.5,36.0
Sustainable Materials,SMAT,Stock,Materials,58.40,0.6,9.7,11.5,0.22,84.2,87.1,80.5,85.0,21.3,30.0
Ethical AI Systems,EAIS,Stock,Technology,112.80,2.8,28.5,19.2,0.25,83.5,85.8,79.2,85.5,24.8,32.0
Carbon Capture Inc,CCAP,Stock,Carbon Management,78.50,1.9,18.3,15.8,0.20,88.2,91.0,84.5,89.1,13.5,42.0
Sustainable Forestry,SFST,Stock,Forestry,45.30,0.4,7.2,10.2,0.16,90.5,93.2,86.8,91.5,10.2,45.0
Green Hydrogen,GRHD,Stock,Clean Energy,85.70,2.5,22.8,17.5,0.24,89.8,92.5,85.7,91.2,11.8,43.0
Waste Management Solutions,WAMS,Stock,Waste Management,52.40,0.8,9.5,12.3,0.18,85.7,88.3,81.5,87.3,16.5,35.0
SustainChain,SUST,Crypto,Sustainable Supply Chain,25.80,4.5,2.2,38.5,0.48,72.5,75.3,68.2,74.0,38.5,25.0
CleanCrypto,CLNC,Crypto,Carbon Credits,18.40,-1.8,1.5,32.8,0.55,70.2,73.5,65.8,71.3,45.2,18.0
FutureCoin,FUTC,Crypto,Future Tech,42.60,6.2,4.8,45.2,0.58,68.5,71.2,64.5,69.8,48.5,15.0
AgriToken,AGRT,Crypto,Sustainable Agriculture,12.50,2.8,0.9,30.5,0.42,75.8,78.5,71.2,77.7,32.5,28.0
RenewCoin,RNWC,Crypto,Renewable Energy,28.30,3.5,2.5,40.2,0.50,74.2,77.5,69.8,75.3,35.8,26.0
CircularToken,CIRC,Crypto,Circular Economy,8.75,1.2,0.6,25.8,0.45,73.8,76.2,70.5,74.7,36.2,24.0
BiodiversityCoin,BIOC,Crypto,Biodiversity,15.20,4.8,1.2,35.5,0.52,78.5,81.2,74.3,80.0,28.5,32.0
CarbonOffset,CRBO,Crypto,Carbon Management,22.40,5.5,1.8,42.8,0.48,80.2,83.5,75.8,81.3,25.2,35.0
ForestCoin,FRST,Crypto,Forestry,5.80,2.2,0.4,28.5,0.40,82.5,85.8,78.2,83.5,22.5,38.0
EthicalAI Token,EAIT,Crypto,Ethical Technology,35.60,7.5,3.2,48.5,0.62,71.5,74.2,67.8,72.5,42.5,22.0
WaterCredit,WATR,Crypto,Water Management,18.90,3.8,1.5,32.5,0.45,77.8,80.5,73.5,79.4,30.2,30.0
SolarCoin,SOLC,Crypto,Solar Energy,45.20,6.8,4.2,52.5,0.55,75.5,78.2,71.5,76.8,32.8,28.0
