ticker,company,headline,sentiment,publication_date,source
ADE,Advanced Enterprises,Advanced Enterprises reports earnings in line with expectations,neutral,2025-03-29,Wall Street Journal
OCIN,Ocean International,Ocean International expands into new markets with innovative products,positive,2025-03-29,Bloomberg
INEN,Innovative Energy,Innovative Energy reaffirms annual guidance despite market uncertainty,neutral,2025-04-19,Yahoo Finance
ADNE,Advanced Networks,"Advanced Networks misses earnings expectations, shares drop",negative,2025-04-19,CNBC
CM82,CarbonMarket,"CarbonMarket CEO resigns amid controversy, stock plummets",negative,2025-04-21,Business Insider
GRI,Green Innovations,Green Innovations launches breakthrough renewable energy technology,positive,2025-04-08,CNBC
PRE,Progressive Enterprises,Progressive Enterprises recalls products due to quality concerns,negative,2025-03-27,Financial Times
BF68,BioFund,BioFund announces layoffs amid restructuring efforts,negative,2025-03-30,The Economist
ADNE,Advanced Networks,Advanced Networks announces layoffs amid restructuring efforts,negative,2025-04-15,MarketWatch
OCLA,Ocean Labs,ESG rating agency upgrades Ocean Labs's sustainability score,positive,2025-04-18,MarketWatch
REP,Renewable Power,Renewable Power releases sustainability report with mixed results,neutral,2025-04-13,Financial Times
ECO,EcoCoin,EcoCoin reaffirms annual guidance despite market uncertainty,neutral,2025-04-18,The Economist
GRI,Green Innovations,Green Innovations partners with tech giant for next-generation solutions,positive,2025-03-26,Yahoo Finance
GLCO,Global Corp,Global Corp maintains dividend at current levels,neutral,2025-04-03,CNBC
CW43,CircularWallet,CircularWallet reports earnings in line with expectations,neutral,2025-03-31,CNBC
HYGR,Hydro Group,Hydro Group maintains current sustainability initiatives,neutral,2025-03-25,CNBC
INH,Innovative Holdings,Innovative Holdings's ESG rating remains unchanged in latest review,neutral,2025-04-13,Forbes
MOG,Modern Group,Modern Group maintains dividend at current levels,neutral,2025-04-16,MarketWatch
SC32,SustainCredit,SustainCredit recalls products due to quality concerns,negative,2025-03-30,Bloomberg
BICO,Bio Corp,Bio Corp announces layoffs amid restructuring efforts,negative,2025-04-04,CNBC
WICO,Wind Corp,ESG rating agency upgrades Wind Corp's sustainability score,positive,2025-04-13,Business Insider
CINE,Circular Networks,Circular Networks cuts dividend amid cash flow concerns,negative,2025-03-26,Financial Times
SC32,SustainCredit,"SustainCredit misses earnings expectations, shares drop",negative,2025-03-27,MarketWatch
GS10,GeoSwap,GeoSwap faces regulatory scrutiny over environmental practices,negative,2025-04-15,Yahoo Finance
SMIN,Smart Industries,Smart Industries maintains dividend at current levels,neutral,2025-04-15,Forbes
GW32,GreenWallet,GreenWallet faces class-action lawsuit from investors,negative,2025-04-17,Wall Street Journal
WICO,Wind Corp,Wind Corp launches breakthrough renewable energy technology,positive,2025-04-04,Wall Street Journal
CISY,Circular Systems,Circular Systems's ESG rating remains unchanged in latest review,neutral,2025-03-24,Yahoo Finance
SOL,SolarAsset,Analysts downgrade SolarAsset stock citing competitive pressures,negative,2025-04-17,Business Insider
